name,blurb,goal,slug,disable_communication,country,deadline,state_changed_at,created_at,launched_at,staff_pick,backers_count,category,urls,deadline_weekday,state_changed_at_weekday,created_at_weekday,launched_at_weekday,deadline_month,deadline_day,deadline_hr,state_changed_at_month,state_changed_at_day,state_changed_at_hr,created_at_month,created_at_day,created_at_hr,launched_at_month,launched_at_day,launched_at_hr,create_to_launch,launch_to_deadline,launch_to_state_change,create_to_launch_days,launch_to_deadline_days,launch_to_state_change_days,SuccessfulBool,USorGB,TOPCOUNTRY,LaunchedTuesday,DeadlineWeekend
"Frywall | splatter, solved.","Fry up burgers, bacon, or anything else, without splatter or spills. You'll like cooking more when the mess is less.",10000.0,frywall-the-antidote-to-the-splattered-stovetop,False,US,8/25/2016 7:00,8/25/2016 7:00,7/3/2016 16:48,7/26/2016 7:00,False,338,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/2061955949/frywall-the-antidote-to-the-splattered-stovetop?ref=category"",""rewards"":""https://www.kickstarter.com/projects/2061955949/frywall-the-antidote-to-the-splattered-stovetop/rewards""}}",Thursday,Thursday,Sunday,Tuesday,8,25,7,8,25,7,7,3,16,7,26,7,22 days 14:11:42.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,22,30,30,1,1,1,1,0
PowearIN: A Wearable Tech Jacket Beyond Your Imagination!,The Worldâs first Technological Hardshell Jacket with Charging Function and 40+ features!,80000.0,powearin-a-jacket-beyond-your-imagination,False,US,12/11/2015 8:49,12/6/2015 7:51,8/15/2015 0:16,10/22/2015 8:49,False,24,Wearables,"{""web"":{""project"":""https://www.kickstarter.com/projects/powearin/powearin-a-jacket-beyond-your-imagination?ref=category"",""rewards"":""https://www.kickstarter.com/projects/powearin/powearin-a-jacket-beyond-your-imagination/rewards""}}",Friday,Sunday,Saturday,Thursday,12,11,8,12,6,7,8,15,0,10,22,8,68 days 08:32:57.000000000,50 days 00:00:00.000000000,44 days 23:02:29.000000000,68,50,44,0,1,1,0,0
HELMER'S LOO,"We have an award-winning Danish play, now we just need a bathroom set to perform it in. Spend a penny to help us build the set!",500.0,helmers-loo,False,GB,10/19/2015 6:00,10/19/2015 6:00,9/20/2015 12:39,10/1/2015 5:53,False,22,Plays,"{""web"":{""project"":""https://www.kickstarter.com/projects/142196353/helmers-loo?ref=category"",""rewards"":""https://www.kickstarter.com/projects/142196353/helmers-loo/rewards""}}",Monday,Monday,Sunday,Thursday,10,19,6,10,19,6,9,20,12,10,1,5,10 days 17:13:32.000000000,18 days 00:06:43.000000000,18 days 00:06:59.000000000,10,18,18,1,1,1,0,0
Jibby,"Jibby, the easiest way to capture and share the life of an animal.   Increase Animal Adoption rates. Get Active locally, get rewards.",40000.0,jibby,False,US,6/21/2015 10:52,6/21/2015 10:52,4/27/2015 21:38,5/22/2015 10:52,False,0,Apps,"{""web"":{""project"":""https://www.kickstarter.com/projects/8867656/jibby?ref=category"",""rewards"":""https://www.kickstarter.com/projects/8867656/jibby/rewards""}}",Sunday,Sunday,Monday,Friday,6,21,10,6,21,10,4,27,21,5,22,10,24 days 13:13:55.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,24,30,30,0,1,1,0,1
Still I Weep,An original stage play designed to bring to light the long-term effects on adult survivors of childhood sexual abuse. We do survive!,8000.0,still-i-weep,False,US,9/5/2015 22:38,9/5/2015 22:38,6/7/2015 19:42,8/11/2015 22:38,False,0,Plays,"{""web"":{""project"":""https://www.kickstarter.com/projects/2027882781/still-i-weep?ref=category"",""rewards"":""https://www.kickstarter.com/projects/2027882781/still-i-weep/rewards""}}",Saturday,Saturday,Sunday,Tuesday,9,5,22,9,5,22,6,7,19,8,11,22,65 days 02:55:29.000000000,25 days 00:00:00.000000000,25 days 00:00:00.000000000,65,25,25,0,1,1,1,1
3D Texture Hub: The One-Stop Site for Artists and Designers,The goal is to provide a hub of real textures and their designated maps to artists and graphic designers in the CGI & 3D field.,15000.0,3d-texture-hub-the-one-stop-site-for-artists-and-h,False,US,7/30/2014 22:59,7/30/2014 22:59,7/5/2014 19:28,7/14/2014 16:12,False,4,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1899215083/3d-texture-hub-the-one-stop-site-for-artists-and-h?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1899215083/3d-texture-hub-the-one-stop-site-for-artists-and-h/rewards""}}",Wednesday,Wednesday,Saturday,Monday,7,30,22,7,30,22,7,5,19,7,14,16,8 days 20:43:14.000000000,16 days 06:46:52.000000000,16 days 06:46:52.000000000,8,16,16,0,1,1,0,0
Wannalistit.com supporting SME'S,wannalistit.com is an online platform set up to increase the profitability of SME's and get consumers the best prices,1500.0,wannalistitcom-supporting-smes,False,GB,8/5/2014 16:00,8/5/2014 16:00,7/17/2014 16:19,7/18/2014 12:49,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/635443460/wannalistitcom-supporting-smes?ref=category"",""rewards"":""https://www.kickstarter.com/projects/635443460/wannalistitcom-supporting-smes/rewards""}}",Tuesday,Tuesday,Thursday,Friday,8,5,16,8,5,16,7,17,16,7,18,12,0 days 20:29:26.000000000,18 days 03:10:43.000000000,18 days 03:10:55.000000000,0,18,18,0,1,1,0,0
THEJOBJOB.COM,We have developed TheJobJob to give everyone the opportunity to offer and look for small jobs thanks to the web.,100000.0,thejobjobcom,False,IT,7/31/2015 18:02,7/31/2015 18:02,6/29/2015 17:07,7/1/2015 18:02,False,0,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/thejobjob/thejobjobcom?ref=category"",""rewards"":""https://www.kickstarter.com/projects/thejobjob/thejobjobcom/rewards""}}",Friday,Friday,Monday,Wednesday,7,31,18,7,31,18,6,29,17,7,1,18,2 days 00:54:30.000000000,30 days 00:00:00.000000000,30 days 00:00:02.000000000,2,30,30,0,0,0,0,0
ELEVATE Wooden flash drives. (Canceled),Bringing the scrap wood back to life. The flash drives can be laser engraved as well upon special order.,500.0,elevate-urban-woods-flash-drives,False,US,6/22/2016 13:09,6/7/2016 20:50,5/10/2016 18:13,5/18/2016 13:09,False,11,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/designproducts/elevate-urban-woods-flash-drives?ref=category"",""rewards"":""https://www.kickstarter.com/projects/designproducts/elevate-urban-woods-flash-drives/rewards""}}",Wednesday,Tuesday,Tuesday,Wednesday,6,22,13,6,7,20,5,10,18,5,18,13,7 days 18:55:56.000000000,35 days 00:00:00.000000000,20 days 07:41:17.000000000,7,35,20,0,1,1,0,0
HappenShare mobile app: Planning Alaskaâs Unpredictability,"Created to provide Alaska with updates on unscheduled ""Happenings"" -moose sightings, fresh powder, northern lights, salmon runs  & more",4900.0,planning-alaskas-unpredictability-experience-every,False,US,3/14/2016 19:47,3/14/2016 19:47,2/14/2014 2:17,1/29/2016 19:47,False,61,Apps,"{""web"":{""project"":""https://www.kickstarter.com/projects/1197322018/planning-alaskas-unpredictability-experience-every?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1197322018/planning-alaskas-unpredictability-experience-every/rewards""}}",Monday,Monday,Friday,Friday,3,14,19,3,14,19,2,14,2,1,29,19,714 days 17:30:01.000000000,45 days 00:00:00.000000000,45 days 00:00:00.000000000,714,45,45,1,1,1,0,0
Cheatee Date - Dating Site for Those Who've Been Cheated On,#NAME?,24000.0,cheatee-date-a-dating-site-for-those-whove-been-ce,False,US,8/22/2015 10:30,8/22/2015 10:30,7/7/2015 21:16,7/23/2015 10:30,False,1,Web,"{""web"":{""project"":""https://www.kickstarter.com/projects/1243953263/cheatee-date-a-dating-site-for-those-whove-been-ce?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1243953263/cheatee-date-a-dating-site-for-those-whove-been-ce/rewards""}}",Saturday,Saturday,Tuesday,Thursday,8,22,10,8,22,10,7,7,21,7,23,10,15 days 13:14:19.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,15,30,30,0,1,1,0,1
Does centrifugal force warp time like gravity?,"Using a centrifuge, 2 LEDs connected to 2 button batteries and a spectrograph, one can observe redshift if time is bent.",5000.0,does-centrifugal-force-warp-time-like-gravity,False,US,1/5/2015 23:04,1/5/2015 23:04,12/1/2014 22:49,12/6/2014 23:04,False,5,,"{""web"":{""project"":""https://www.kickstarter.com/projects/845704994/does-centrifugal-force-warp-time-like-gravity?ref=category"",""rewards"":""https://www.kickstarter.com/projects/845704994/does-centrifugal-force-warp-time-like-gravity/rewards""}}",Monday,Monday,Monday,Saturday,1,5,23,1,5,23,12,1,22,12,6,23,5 days 00:14:36.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,5,30,30,0,1,1,0,0
SmartHeart Programmable LED Light,"Both entertainment and education. Using PICAXE MCU, allowing user to write BASIC program to read sensor status and control the lights.",20000.0,smartheart-programmable-led-light,False,US,12/7/2016 9:50,12/7/2016 9:50,10/3/2016 19:23,11/7/2016 9:50,False,1,,"{""web"":{""project"":""https://www.kickstarter.com/projects/424200275/smartheart-programmable-led-light?ref=category"",""rewards"":""https://www.kickstarter.com/projects/424200275/smartheart-programmable-led-light/rewards""}}",Wednesday,Wednesday,Monday,Monday,12,7,9,12,7,9,10,3,19,11,7,9,34 days 14:26:57.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,34,30,30,0,1,1,0,0
"Precision Stop - for super accurate, efficient sawing",Precision Stop is an auto-positioning tool to inexpensively and accurately measure material for cutting.,20000.0,precision-stop-for-super-efficient-quick-sawing,False,US,12/12/2014 0:35,12/12/2014 0:35,10/26/2014 15:23,11/13/2014 15:45,False,18,,"{""web"":{""project"":""https://www.kickstarter.com/projects/721103934/precision-stop-for-super-efficient-quick-sawing?ref=category"",""rewards"":""https://www.kickstarter.com/projects/721103934/precision-stop-for-super-efficient-quick-sawing/rewards""}}",Friday,Friday,Sunday,Thursday,12,12,0,12,12,0,10,26,15,11,13,15,18 days 00:21:49.000000000,28 days 08:49:31.000000000,28 days 08:49:31.000000000,18,28,28,0,1,1,0,0
Fable: A New Musical,Help us produce FABLE at the New York Musical Theatre Festival (NYMF) this July!,10000.0,fable-a-new-musical,False,US,5/22/2014 21:09,5/22/2014 21:09,4/13/2014 19:43,4/22/2014 21:09,False,131,Musical,"{""web"":{""project"":""https://www.kickstarter.com/projects/fableanewmusical/fable-a-new-musical?ref=category"",""rewards"":""https://www.kickstarter.com/projects/fableanewmusical/fable-a-new-musical/rewards""}}",Thursday,Thursday,Sunday,Tuesday,5,22,21,5,22,21,4,13,19,4,22,21,9 days 01:25:59.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,9,30,30,1,1,1,1,0
Spirit Family Reunion Needs a Van!,"We need your help NOW!
Help pay for the new Spirit Family Reunion van",5000.0,spirit-family-reunion-needs-a-van,False,US,6/21/2011 22:00,6/21/2011 22:03,4/5/2011 13:51,4/11/2011 11:51,False,113,,"{""web"":{""project"":""https://www.kickstarter.com/projects/spiritfamilyreunion/spirit-family-reunion-needs-a-van?ref=category"",""rewards"":""https://www.kickstarter.com/projects/spiritfamilyreunion/spirit-family-reunion-needs-a-van/rewards""}}",Tuesday,Tuesday,Tuesday,Monday,6,21,22,6,21,22,4,5,13,4,11,11,5 days 22:00:58.000000000,71 days 10:08:01.000000000,71 days 10:11:24.000000000,5,71,71,1,1,1,0,0
DIY Allergy Car A/C Medical Equipment,"BLOW-FREE, a compact air conditioning system w/ solar components for small  vehicles interior rear deck.",50000.0,blow-free,False,US,7/31/2016 11:46,7/31/2016 11:46,6/28/2016 5:31,7/1/2016 11:46,False,0,,"{""web"":{""project"":""https://www.kickstarter.com/projects/146774170/blow-free?ref=category"",""rewards"":""https://www.kickstarter.com/projects/146774170/blow-free/rewards""}}",Sunday,Sunday,Tuesday,Friday,7,31,11,7,31,11,6,28,5,7,1,11,3 days 06:14:21.000000000,30 days 00:00:00.000000000,30 days 00:00:01.000000000,3,30,30,0,1,1,0,1
Emerson Sings!,Emerson Sings is the first cabaret to celebrate the work of up and coming musical theater composers who are alumni of Emerson College.,3500.0,emerson-sings,False,US,2/12/2015 8:15,2/12/2015 8:15,12/29/2014 14:23,1/13/2015 8:15,False,39,Musical,"{""web"":{""project"":""https://www.kickstarter.com/projects/193981277/emerson-sings?ref=category"",""rewards"":""https://www.kickstarter.com/projects/193981277/emerson-sings/rewards""}}",Thursday,Thursday,Monday,Tuesday,2,12,8,2,12,8,12,29,14,1,13,8,14 days 17:52:22.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,14,30,30,0,1,1,1,0
boom- a play by Peter Sinn Nachtrieb,Sex. Fish. A COMET THAT DESTROYS THE WORLD. boom a play by Peter Sinn Nachtrieb- Feb 19-21 at The Bridge in NYC.,2000.0,boom-a-play-by-peter-sinn-nachtrieb,False,US,2/10/2015 22:59,2/10/2015 22:59,12/11/2014 16:23,12/15/2014 13:55,False,35,Plays,"{""web"":{""project"":""https://www.kickstarter.com/projects/1302401995/boom-a-play-by-peter-sinn-nachtrieb?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1302401995/boom-a-play-by-peter-sinn-nachtrieb/rewards""}}",Tuesday,Tuesday,Thursday,Monday,2,10,22,2,10,22,12,11,16,12,15,13,3 days 21:31:48.000000000,57 days 09:03:53.000000000,57 days 09:03:53.000000000,3,57,57,1,1,1,0,0
St. Michael Boat Parties - Halloween and Beyond!,Help the hosts of the infamous St. Michael sustain and create epic boat parties through Halloween and into 2015,300.0,st-michael-boat-parties-halloween-and-beyond,False,GB,10/3/2014 6:29,10/3/2014 6:30,9/1/2014 3:58,9/3/2014 6:29,False,59,Spaces,"{""web"":{""project"":""https://www.kickstarter.com/projects/617004672/st-michael-boat-parties-halloween-and-beyond?ref=category"",""rewards"":""https://www.kickstarter.com/projects/617004672/st-michael-boat-parties-halloween-and-beyond/rewards""}}",Friday,Friday,Monday,Wednesday,10,3,6,10,3,6,9,1,3,9,3,6,2 days 02:31:14.000000000,30 days 00:00:00.000000000,30 days 00:00:43.000000000,2,30,30,1,1,1,0,0
Sonic Foamer - Makes beer taste better to the last drop. (Suspended),"No more flat, flavorless beer! Our Mission is simple: We want every beer lover to know the best way to experience their favorite beer.",10000.0,sonic-foamer-makes-beer-taste-better-to-the-last-d,True,US,12/16/2016 20:25,11/22/2016 11:23,10/1/2016 17:15,11/1/2016 20:25,False,52,Gadgets,"{""web"":{""project"":""https://www.kickstarter.com/projects/804672527/sonic-foamer-makes-beer-taste-better-to-the-last-d?ref=category"",""rewards"":""https://www.kickstarter.com/projects/804672527/sonic-foamer-makes-beer-taste-better-to-the-last-d/rewards""}}",Friday,Tuesday,Saturday,Tuesday,12,16,20,11,22,11,10,1,17,11,1,20,31 days 03:09:44.000000000,45 days 00:00:00.000000000,20 days 14:58:03.000000000,31,45,20,0,1,1,1,0
Lets get physical game math science school technology,"This game would be ment to help secondary students learn math, physics, etc in a fun and interactive way.",25000.0,lets-get-physical-game-math-science-school-technol,False,CA,11/19/2014 14:52,11/19/2014 14:52,9/29/2014 0:19,10/20/2014 14:52,False,0,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/479352888/lets-get-physical-game-math-science-school-technol?ref=category"",""rewards"":""https://www.kickstarter.com/projects/479352888/lets-get-physical-game-math-science-school-technol/rewards""}}",Wednesday,Wednesday,Monday,Monday,11,19,14,11,19,14,9,29,0,10,20,14,21 days 14:33:13.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,21,30,30,0,0,0,0,0
The Rebirth Consortium,"The Rebirth Consortium is a collection of stories, highlighting moments of self-discovery, and how the characters have handled it.",2600.0,the-rebirth-consortium,False,US,5/29/2015 22:50,5/29/2015 22:50,4/19/2015 15:58,4/19/2015 22:50,False,2,Festivals,"{""web"":{""project"":""https://www.kickstarter.com/projects/capetpds/the-rebirth-consortium?ref=category"",""rewards"":""https://www.kickstarter.com/projects/capetpds/the-rebirth-consortium/rewards""}}",Friday,Friday,Sunday,Sunday,5,29,22,5,29,22,4,19,15,4,19,22,0 days 06:52:25.000000000,40 days 00:00:00.000000000,40 days 00:00:00.000000000,0,40,40,0,1,1,0,0
Cancer Survivor Dr.Wilderness has Magic for Kids with Cancer,"""""Emmy Award-Winning"" children's magician & cancer survivor Dr. Wilderness has 40 years of MAGIC to share with every Kid With Cancer!",25000.0,cancer-survivor-drwilderness-has-magic-for-kids-wi,False,US,7/4/2016 16:01,7/4/2016 16:01,3/15/2016 18:54,6/7/2016 16:22,False,0,Festivals,"{""web"":{""project"":""https://www.kickstarter.com/projects/1594573925/cancer-survivor-drwilderness-has-magic-for-kids-wi?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1594573925/cancer-survivor-drwilderness-has-magic-for-kids-wi/rewards""}}",Monday,Monday,Tuesday,Tuesday,7,4,16,7,4,16,3,15,18,6,7,16,83 days 21:28:17.000000000,26 days 23:38:41.000000000,26 days 23:38:42.000000000,83,26,26,0,1,1,1,0
XPUMP | TURN ANY SOUND SOURCE INTO A HOME THEATER EXPERIENCE,XPUMP unleashes immersive sound with the touch of your fingertips. Hear the difference.,25000.0,xpump-turn-any-sound-source-into-a-home-theater-ex,False,US,10/21/2016 3:00,10/21/2016 3:00,8/8/2016 1:21,9/6/2016 3:00,False,2278,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/819767230/xpump-turn-any-sound-source-into-a-home-theater-ex?ref=category"",""rewards"":""https://www.kickstarter.com/projects/819767230/xpump-turn-any-sound-source-into-a-home-theater-ex/rewards""}}",Friday,Friday,Monday,Tuesday,10,21,3,10,21,3,8,8,1,9,6,3,29 days 01:38:39.000000000,45 days 00:00:00.000000000,45 days 00:00:00.000000000,29,45,45,1,1,1,1,0
Dustbender - The Revolutionary Dust Mitigation Tool!,The Dustbender mounts to any vacuum hose and combines the power of compressed air to remove dust from almost any surface.,37500.0,dustbender-the-revolutionary-dust-mitigation-tool,False,US,5/13/2016 17:30,5/13/2016 17:30,3/31/2016 11:54,4/18/2016 9:06,False,21,Hardware,"{""web"":{""project"":""https://www.kickstarter.com/projects/dustbender/dustbender-the-revolutionary-dust-mitigation-tool?ref=category"",""rewards"":""https://www.kickstarter.com/projects/dustbender/dustbender-the-revolutionary-dust-mitigation-tool/rewards""}}",Friday,Friday,Thursday,Monday,5,13,17,5,13,17,3,31,11,4,18,9,17 days 21:12:49.000000000,25 days 08:23:04.000000000,25 days 08:23:05.000000000,17,25,25,0,1,1,0,0
Go Spot Me!,"Track and remember your location from your browser.  See your current/saved locations on a map, get directions, and share with friends.",10000.0,go-spot-me,False,US,11/24/2013 22:10,11/24/2013 22:10,10/20/2013 19:01,10/25/2013 22:10,False,11,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/1458478682/go-spot-me?ref=category"",""rewards"":""https://www.kickstarter.com/projects/1458478682/go-spot-me/rewards""}}",Sunday,Sunday,Sunday,Friday,11,24,22,11,24,22,10,20,19,10,25,22,5 days 03:08:53.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,5,30,30,0,1,1,0,1
Dualo - The new musical instrument for all,Experience the joy of creating your own music with one intuitive & stand alone instrument. Play and compose wherever you want.,50000.0,dualo-the-new-musical-instrument-for-all,False,FR,5/11/2016 4:08,5/11/2016 4:08,3/3/2016 7:47,4/11/2016 4:08,True,605,Sound,"{""web"":{""project"":""https://www.kickstarter.com/projects/63006320/dualo-the-new-musical-instrument-for-all?ref=category"",""rewards"":""https://www.kickstarter.com/projects/63006320/dualo-the-new-musical-instrument-for-all/rewards""}}",Wednesday,Wednesday,Thursday,Monday,5,11,4,5,11,4,3,3,7,4,11,4,38 days 20:21:00.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,38,30,30,1,0,0,0,0
FileVoyager to the CLOUDS,"FileVoyager, the free file manager, wanna reach the CLOUDS",3500.0,filevoyager-to-the-clouds,False,BE,10/29/2015 2:38,10/29/2015 2:38,8/28/2015 13:29,9/29/2015 2:38,False,7,Software,"{""web"":{""project"":""https://www.kickstarter.com/projects/758610575/filevoyager-to-the-clouds?ref=category"",""rewards"":""https://www.kickstarter.com/projects/758610575/filevoyager-to-the-clouds/rewards""}}",Thursday,Thursday,Friday,Tuesday,10,29,2,10,29,2,8,28,13,9,29,2,31 days 13:08:59.000000000,30 days 00:00:00.000000000,30 days 00:00:00.000000000,31,30,30,0,0,0,1,0
